Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CSA,Central and South America,ARG,Argentina,1967,All,Age_all,[All],2742.00000000,1.48504395,12.75808508,12.02631579,
CSA,Central and South America,ARG,Argentina,1966,All,Age_all,[All],2406.00000000,1.56342394,11.31318661,10.69903949,
CSA,Central and South America,ARG,Argentina,1977,Female,Age_all,[All],719.00000000,0.71869815,5.29188319,5.34771290,
CSA,Central and South America,ARG,Argentina,1980,Female,Age_all,[All],665.00000000,0.63999538,4.64483906,4.68590353,
CSA,Central and South America,ARG,Argentina,1969,Female,Age_all,[All],1258.00000000,1.39083904,11.02050319,10.79457697,
CSA,Central and South America,ARG,Argentina,1981,All,Age_all,[All],1900.00000000,0.78543554,6.90473843,6.72871248,
CSA,Central and South America,ARG,Argentina,1978,All,Age_all,[All],1959.00000000,0.83903684,7.26101666,7.16270567,
CSA,Central and South America,ARG,Argentina,1978,Male,Age_all,[All],1306.00000000,0.96824655,10.07074724,9.55726308,
CSA,Central and South America,ARG,Argentina,1978,Female,Age_all,[All],653.00000000,0.66227852,4.72980144,4.77164779,
CSA,Central and South America,ARG,Argentina,1983,Male,Age_all,[All],1201.00000000,0.84837354,8.30541967,8.12364719,
CSA,Central and South America,ARG,Argentina,1979,Male,Age_all,[All],1143.00000000,0.84784108,8.59949224,8.23724416,
CSA,Central and South America,ARG,Argentina,1979,Female,Age_all,[All],658.00000000,0.65725730,4.74990510,4.72871003,
CSA,Central and South America,ARG,Argentina,1970,All,Age_all,[All],3143.00000000,1.41478434,13.77856439,13.23535605,
CSA,Central and South America,ARG,Argentina,1979,All,Age_all,[All],1801.00000000,0.76662438,6.58328700,6.48051527,
